BHK,Rent,Size,Area Type,City,Furnishing Status,Bathroom,Point of Contact
2,35000,650,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,8500,500,Carpet Area,Mumbai,Unfurnished,1,Contact Owner
3,80000,850,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,55000,550,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
1,25000,430,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,40000,1030,Carpet Area,Mumbai,Furnished,3,Contact Agent
1,15500,250,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
1,45000,500,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
4,180000,1750,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
2,51000,985,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,60000,1050,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
2,36000,700,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,180000,1200,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,75000,1000,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,8000,550,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,50000,806,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
3,100000,1400,Carpet Area,Mumbai,Furnished,3,Contact Agent
1,16500,470,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,4500,475,Super Area,Mumbai,Unfurnished,1,Contact Owner
2,34000,583,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,32000,475,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,50000,900,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,24000,500,Carpet Area,Mumbai,Semi-Furnished,1,Contact Owner
2,62000,806,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,100000,400,Carpet Area,Mumbai,Furnished,1,Contact Agent
1,21000,650,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
1,27000,550,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
1,10000,390,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
2,90000,994,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,8000,520,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
1,75000,575,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
3,230000,2750,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,15000,470,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
4,260000,2500,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
3,62000,1100,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,43500,480,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,62000,750,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
4,400000,2424,Carpet Area,Mumbai,Semi-Furnished,5,Contact Agent
2,77500,724,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,30000,600,Carpet Area,Mumbai,Furnished,1,Contact Owner
3,110000,1076,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,20000,800,Super Area,Mumbai,Unfurnished,2,Contact Owner
3,150000,1300,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,55000,500,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,70000,700,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,65000,700,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,310000,2170,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
1,18000,225,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,48000,485,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,10000,225,Super Area,Mumbai,Unfurnished,1,Contact Owner
1,32000,478,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,32000,1200,Super Area,Mumbai,Semi-Furnished,3,Contact Owner
2,36000,620,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,22000,280,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
1,5500,385,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
3,15000,704,Carpet Area,Mumbai,Unfurnished,2,Contact Owner
2,40000,710,Carpet Area,Mumbai,Unfurnished,2,Contact Owner
1,28000,525,Super Area,Mumbai,Unfurnished,1,Contact Owner
1,11000,390,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
2,40000,755,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,45000,700,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,180000,1000,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,160000,2000,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,36000,650,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,59000,470,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
1,40000,450,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,40000,625,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
2,72000,700,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,40000,600,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,16000,600,Carpet Area,Mumbai,Unfurnished,1,Contact Owner
2,50000,1100,Super Area,Mumbai,Furnished,4,Contact Agent
1,24000,370,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
2,65000,950,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,33000,825,Super Area,Mumbai,Unfurnished,2,Contact Owner
2,27000,650,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,52000,750,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,95000,900,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,68000,805,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,48000,742,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,32000,550,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,42000,745,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,60000,800,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,51500,1265,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
3,130000,1800,Super Area,Mumbai,Unfurnished,3,Contact Agent
1,25000,325,Carpet Area,Mumbai,Furnished,1,Contact Agent
2,85000,902,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,98000,1233,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
2,100000,750,Super Area,Mumbai,Furnished,2,Contact Owner
2,65000,600,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,23000,500,Super Area,Mumbai,Unfurnished,1,Contact Agent
2,40000,600,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,45000,950,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,40000,680,Super Area,Mumbai,Furnished,4,Contact Agent
1,23500,400,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
4,250000,2120,Carpet Area,Mumbai,Furnished,5,Contact Agent
3,110000,1350,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
3,150000,1600,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,22000,430,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
4,150000,1937,Carpet Area,Mumbai,Semi-Furnished,5,Contact Agent
2,75000,700,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,41000,780,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
4,150000,1300,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
3,150000,1350,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,53000,750,Carpet Area,Mumbai,Furnished,2,Contact Agent
4,140000,1400,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
4,200000,2000,Carpet Area,Mumbai,Furnished,5,Contact Agent
2,65000,850,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,48000,500,Carpet Area,Mumbai,Furnished,1,Contact Agent
2,75000,900,Super Area,Mumbai,Unfurnished,2,Contact Agent
2,39000,750,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,70000,1100,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
4,1200000,5000,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
1,25000,596,Super Area,Mumbai,Semi-Furnished,1,Contact Owner
2,45000,680,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
4,190000,1950,Carpet Area,Mumbai,Unfurnished,4,Contact Agent
3,140000,1350,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,35000,510,Carpet Area,Mumbai,Semi-Furnished,1,Contact Owner
1,60000,500,Carpet Area,Mumbai,Furnished,1,Contact Agent
1,15000,375,Super Area,Mumbai,Unfurnished,1,Contact Owner
1,39000,500,Carpet Area,Mumbai,Furnished,1,Contact Agent
3,190000,1500,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,84000,1000,Carpet Area,Mumbai,Furnished,3,Contact Agent
3,68000,1260,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,26000,475,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,42000,620,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,35000,490,Carpet Area,Mumbai,Furnished,1,Contact Agent
2,44000,710,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,60000,720,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,45000,770,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,250000,1600,Super Area,Mumbai,Semi-Furnished,3,Contact Agent
1,65000,500,Carpet Area,Mumbai,Furnished,1,Contact Agent
1,20000,350,Super Area,Mumbai,Unfurnished,1,Contact Owner
2,75000,1000,Super Area,Mumbai,Semi-Furnished,2,Contact Agent
5,500000,3900,Carpet Area,Mumbai,Furnished,5,Contact Agent
3,140000,1000,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,45000,660,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,9400,600,Super Area,Mumbai,Semi-Furnished,1,Contact Owner
2,100000,900,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,65000,750,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,230000,1000,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,180000,1500,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,180000,1200,Carpet Area,Mumbai,Furnished,3,Contact Agent
3,120000,1200,Carpet Area,Mumbai,Furnished,3,Contact Agent
1,20000,280,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
2,130000,1000,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,400000,1800,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
2,75000,694,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
5,350000,3250,Carpet Area,Mumbai,Unfurnished,5,Contact Agent
3,100000,1740,Super Area,Mumbai,Furnished,4,Contact Owner
2,55000,750,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,70000,1000,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,30000,500,Super Area,Mumbai,Furnished,1,Contact Owner
4,330000,2000,Carpet Area,Mumbai,Semi-Furnished,5,Contact Agent
1,75000,550,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,14000,270,Carpet Area,Mumbai,Unfurnished,1,Contact Owner
3,130000,960,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,40000,1200,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
2,46000,710,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,27000,472,Carpet Area,Mumbai,Semi-Furnished,2,Contact Owner
2,95000,1000,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,94000,800,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,40000,650,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,150000,1300,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,30000,600,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,95000,750,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,130000,890,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,14000,421,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
3,100000,1300,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,35000,350,Super Area,Mumbai,Unfurnished,1,Contact Owner
2,57000,800,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,45000,650,Carpet Area,Mumbai,Semi-Furnished,2,Contact Owner
1,11000,650,Super Area,Mumbai,Furnished,2,Contact Owner
2,50000,650,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,35000,680,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,100000,800,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,130000,1250,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,52000,475,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
2,28000,600,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,18000,450,Super Area,Mumbai,Unfurnished,1,Contact Owner
1,30000,400,Super Area,Mumbai,Unfurnished,1,Contact Owner
3,45000,985,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
3,130000,1450,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
2,58000,650,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,65000,805,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,24000,650,Super Area,Mumbai,Semi-Furnished,1,Contact Owner
1,54500,515,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
3,70000,1000,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,67000,1050,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,75000,777,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,45000,831,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,98000,1233,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
1,16000,250,Carpet Area,Mumbai,Unfurnished,1,Contact Owner
2,95000,900,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,40000,753,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,300000,1800,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,80000,670,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
4,380000,2800,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
3,160000,1197,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,44000,880,Carpet Area,Mumbai,Unfurnished,2,Contact Owner
2,200000,1000,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,65000,935,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
2,50000,751,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,6000,200,Super Area,Mumbai,Unfurnished,1,Contact Owner
4,280000,2500,Carpet Area,Mumbai,Semi-Furnished,6,Contact Agent
1,46000,500,Carpet Area,Mumbai,Furnished,1,Contact Agent
1,35000,430,Carpet Area,Mumbai,Furnished,1,Contact Agent
3,75000,1088,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,20000,330,Carpet Area,Mumbai,Semi-Furnished,1,Contact Owner
1,25000,400,Carpet Area,Mumbai,Unfurnished,1,Contact Owner
3,110000,1200,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,29500,700,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,53000,1000,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,85000,750,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,26000,450,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,33000,640,Super Area,Mumbai,Furnished,2,Contact Owner
3,180000,1190,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,70000,850,Super Area,Mumbai,Unfurnished,3,Contact Agent
1,17000,330,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
2,37000,685,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,27000,400,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,35500,500,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,24000,550,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
4,250000,2500,Carpet Area,Mumbai,Unfurnished,4,Contact Agent
3,180000,1100,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,18500,650,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,200000,1400,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,70000,1050,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,55000,850,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,24000,550,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
2,55000,750,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,150000,1350,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,50000,800,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
4,300000,2650,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,90100,975,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,57000,1325,Carpet Area,Mumbai,Furnished,4,Contact Agent
2,40000,700,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
2,80000,700,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,95000,850,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,14000,305,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
2,50000,850,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,43000,724,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,55000,650,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,35000,650,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,33000,700,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,47000,785,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,75000,1250,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
4,45000,1016,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,36000,380,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,40000,475,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
1,40000,444,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,32000,640,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,17000,320,Carpet Area,Mumbai,Unfurnished,1,Contact Owner
3,77000,1100,Carpet Area,Mumbai,Unfurnished,4,Contact Agent
4,290000,1500,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,35000,650,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,40000,508,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
4,250000,2500,Carpet Area,Mumbai,Furnished,4,Contact Agent
2,47000,720,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,50000,750,Super Area,Mumbai,Unfurnished,2,Contact Owner
1,32000,430,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
2,8000,623,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,240000,1358,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
3,85000,1000,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,65000,1100,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
3,75000,1255,Carpet Area,Mumbai,Furnished,3,Contact Owner
1,26500,450,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,45000,650,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,95000,955,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,38000,700,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,260000,1915,Super Area,Mumbai,Semi-Furnished,4,Contact Agent
4,300000,2308,Carpet Area,Mumbai,Semi-Furnished,6,Contact Agent
3,180000,1250,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,40000,625,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
4,300000,2200,Carpet Area,Mumbai,Furnished,4,Contact Agent
2,85000,870,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,110000,1300,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,40000,750,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,45000,750,Super Area,Mumbai,Furnished,2,Contact Owner
2,52000,550,Carpet Area,Mumbai,Furnished,2,Contact Agent
4,90000,1250,Carpet Area,Mumbai,Furnished,4,Contact Agent
3,140000,1400,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,150000,1330,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
3,65000,1000,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,50000,770,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,54000,800,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
4,180000,1691,Carpet Area,Mumbai,Semi-Furnished,6,Contact Agent
1,60000,550,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,65000,800,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,35000,615,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,43000,663,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,20000,400,Carpet Area,Mumbai,Semi-Furnished,1,Contact Owner
2,57000,625,Carpet Area,Mumbai,Furnished,2,Contact Agent
4,130000,1432,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,25000,425,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
2,56000,649,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,55000,905,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,18000,882,Super Area,Mumbai,Unfurnished,2,Contact Owner
3,100000,1200,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,76000,736,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,270000,1710,Carpet Area,Mumbai,Furnished,3,Contact Agent
1,45000,225,Carpet Area,Mumbai,Unfurnished,1,Contact Owner
2,39000,720,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,12500,555,Super Area,Mumbai,Unfurnished,1,Contact Owner
1,35000,415,Super Area,Mumbai,Unfurnished,1,Contact Owner
2,55000,649,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,90000,1000,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,250000,1300,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,25000,1065,Super Area,Mumbai,Furnished,2,Contact Owner
2,90000,854,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,120000,1200,Carpet Area,Mumbai,Furnished,3,Contact Agent
1,55000,500,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
3,70000,906,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,300000,1800,Carpet Area,Mumbai,Furnished,4,Contact Agent
2,25000,500,Carpet Area,Mumbai,Furnished,1,Contact Owner
1,35000,450,Super Area,Mumbai,Unfurnished,1,Contact Owner
3,120000,1130,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,27000,495,Super Area,Mumbai,Furnished,2,Contact Owner
1,25000,407,Super Area,Mumbai,Unfurnished,2,Contact Owner
3,150000,1092,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,32000,610,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,40000,500,Super Area,Mumbai,Furnished,2,Contact Owner
2,52000,750,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,80000,750,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,55000,850,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,30000,350,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
1,20000,300,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
1,85000,695,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,40000,415,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,21000,450,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,43000,850,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
2,58000,805,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,130000,700,Carpet Area,Mumbai,Furnished,2,Contact Agent
3,260000,1800,Carpet Area,Mumbai,Furnished,4,Contact Agent
2,46000,669,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
1,6500,325,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
1,21000,600,Super Area,Mumbai,Furnished,1,Contact Owner
2,46000,725,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
2,60000,750,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,65000,1050,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
2,15000,600,Carpet Area,Mumbai,Unfurnished,2,Contact Owner
2,130000,1000,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,90000,1110,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,62000,650,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,160000,1100,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,80000,1100,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
3,80000,1110,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
3,55000,999,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,100000,1000,Carpet Area,Mumbai,Furnished,3,Contact Agent
4,200000,2200,Carpet Area,Mumbai,Semi-Furnished,5,Contact Agent
3,100000,1256,Carpet Area,Mumbai,Furnished,3,Contact Agent
2,79500,750,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,84500,889,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,100000,750,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,13000,385,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
4,100000,1454,Carpet Area,Mumbai,Unfurnished,4,Contact Agent
1,35000,480,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
2,72000,660,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,180000,1600,Carpet Area,Mumbai,Furnished,3,Contact Agent
1,26000,434,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
3,72000,1121,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
1,8000,620,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
3,130000,937,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,52000,470,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,13000,410,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
3,45000,850,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
3,180000,1500,Carpet Area,Mumbai,Furnished,4,Contact Agent
2,63000,888,Carpet Area,Mumbai,Furnished,2,Contact Agent
1,7500,380,Carpet Area,Mumbai,Unfurnished,2,Contact Owner
1,30000,360,Carpet Area,Mumbai,Unfurnished,1,Contact Agent
1,28500,565,Super Area,Mumbai,Furnished,2,Contact Owner
3,100000,2000,Super Area,Mumbai,Semi-Furnished,4,Contact Agent
4,270000,1358,Carpet Area,Mumbai,Semi-Furnished,4,Contact Agent
2,38000,661,Carpet Area,Mumbai,Semi-Furnished,2,Contact Agent
1,26000,450,Carpet Area,Mumbai,Unfurnished,2,Contact Agent
3,70000,1300,Carpet Area,Mumbai,Unfurnished,3,Contact Agent
2,41000,600,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,27000,900,Super Area,Mumbai,Semi-Furnished,3,Contact Owner
1,53000,379,Carpet Area,Mumbai,Semi-Furnished,1,Contact Agent
2,65000,805,Carpet Area,Mumbai,Semi-Furnished,3,Contact Agent
1,85000,650,Super Area,Mumbai,Furnished,2,Contact Owner
1,6000,500,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
1,43000,480,Carpet Area,Mumbai,Furnished,2,Contact Agent
2,65000,550,Super Area,Mumbai,Semi-Furnished,2,Contact Owner
3,280000,1600,Carpet Area,Mumbai,Furnished,3,Contact Agent
