BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Bathroom
1,22000,400,3 out of 7,Carpet Area,Mumbai,Unfurnished,1
2,20000,600,7 out of 7,Carpet Area,Mumbai,Furnished,2
1,26000,390,Upper Basement out of 7,Carpet Area,Mumbai,Semi-Furnished,2
4,850000,3200,2 out of 4,Carpet Area,Mumbai,Furnished,4
1,34999,450,5 out of 12,Carpet Area,Mumbai,Furnished,2
1,35000,500,7 out of 23,Super Area,Mumbai,Semi-Furnished,2
1,50000,410,6 out of 12,Carpet Area,Mumbai,Semi-Furnished,1
1,16000,160,2 out of 3,Carpet Area,Mumbai,Unfurnished,1
2,55000,750,10 out of 14,Carpet Area,Mumbai,Unfurnished,2
1,39000,585,3 out of 7,Super Area,Mumbai,Unfurnished,2
3,100000,1300,12 out of 24,Carpet Area,Mumbai,Semi-Furnished,3
1,25000,350,2 out of 17,Carpet Area,Mumbai,Furnished,1
1,25000,490,3 out of 7,Super Area,Mumbai,Semi-Furnished,2
2,49500,650,5 out of 16,Carpet Area,Mumbai,Unfurnished,2
1,21000,225,6 out of 24,Carpet Area,Mumbai,Unfurnished,1
2,110000,850,5 out of 13,Carpet Area,Mumbai,Semi-Furnished,2
1,21000,385,Ground out of 5,Super Area,Mumbai,Unfurnished,1
2,46700,800,2 out of 7,Carpet Area,Mumbai,Unfurnished,2
4,400000,2500,5 out of 12,Carpet Area,Mumbai,Furnished,4
4,280000,1526,76 out of 78,Carpet Area,Mumbai,Semi-Furnished,5
1,18000,300,3 out of 10,Super Area,Mumbai,Unfurnished,1
3,80000,1800,10 out of 13,Super Area,Mumbai,Semi-Furnished,3
2,88000,800,5 out of 20,Carpet Area,Mumbai,Semi-Furnished,2
3,90000,890,20 out of 27,Carpet Area,Mumbai,Furnished,2
2,38000,700,14 out of 23,Carpet Area,Mumbai,Unfurnished,2
1,20000,465,3 out of 4,Super Area,Mumbai,Semi-Furnished,1
2,140000,900,8 out of 36,Carpet Area,Mumbai,Furnished,2
3,78000,1073,8 out of 20,Carpet Area,Mumbai,Semi-Furnished,3
1,21000,450,4 out of 7,Super Area,Mumbai,Unfurnished,1
3,95000,1350,8 out of 16,Carpet Area,Mumbai,Furnished,3
2,90000,800,5 out of 8,Carpet Area,Mumbai,Furnished,2
2,34000,600,4 out of 7,Carpet Area,Mumbai,Unfurnished,2
2,55000,650,5 out of 15,Carpet Area,Mumbai,Unfurnished,2
2,52000,550,3 out of 3,Carpet Area,Mumbai,Furnished,2
1,74999,840,8 out of 17,Carpet Area,Mumbai,Unfurnished,2
3,75000,1121,30 out of 45,Carpet Area,Mumbai,Furnished,2
2,45000,650,2 out of 12,Carpet Area,Mumbai,Unfurnished,2
1,22000,575,14 out of 14,Super Area,Mumbai,Unfurnished,1
1,32000,475,3 out of 4,Super Area,Mumbai,Furnished,1
2,34000,830,9 out of 21,Carpet Area,Mumbai,Semi-Furnished,2
3,170000,1337,28 out of 30,Carpet Area,Mumbai,Semi-Furnished,3
1,23000,420,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,2
1,20000,310,Ground out of 7,Carpet Area,Mumbai,Unfurnished,1
3,350000,1800,2 out of 12,Carpet Area,Mumbai,Furnished,4
3,90000,967,14 out of 33,Carpet Area,Mumbai,Furnished,3
1,55000,505,4 out of 12,Carpet Area,Mumbai,Semi-Furnished,1
1,15000,275,3 out of 7,Super Area,Mumbai,Unfurnished,1
2,22000,640,21 out of 21,Carpet Area,Mumbai,Semi-Furnished,2
3,60000,1500,10 out of 23,Carpet Area,Mumbai,Semi-Furnished,3
2,49000,850,10 out of 23,Carpet Area,Mumbai,Semi-Furnished,2
2,34000,900,12 out of 25,Carpet Area,Mumbai,Semi-Furnished,2
1,24000,430,6 out of 7,Carpet Area,Mumbai,Furnished,2
4,270000,1649,18 out of 29,Carpet Area,Mumbai,Semi-Furnished,3
3,69000,1100,12 out of 24,Carpet Area,Mumbai,Unfurnished,3
3,120000,1200,14 out of 35,Carpet Area,Mumbai,Semi-Furnished,3
2,32000,680,5 out of 20,Carpet Area,Mumbai,Unfurnished,2
2,24000,600,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,2
4,100000,1560,12 out of 19,Carpet Area,Mumbai,Unfurnished,4
5,600000,4500,7 out of 20,Carpet Area,Mumbai,Furnished,5
2,45000,771,20 out of 37,Carpet Area,Mumbai,Unfurnished,2
2,80000,800,7 out of 22,Carpet Area,Mumbai,Semi-Furnished,2
2,37000,800,5 out of 14,Super Area,Mumbai,Semi-Furnished,2
3,210000,1425,9 out of 35,Carpet Area,Mumbai,Furnished,4
4,190000,1750,5 out of 17,Carpet Area,Mumbai,Semi-Furnished,4
1,25000,475,11 out of 15,Carpet Area,Mumbai,Unfurnished,2
4,210000,2000,27 out of 27,Carpet Area,Mumbai,Unfurnished,5
3,200000,1375,15 out of 60,Carpet Area,Mumbai,Semi-Furnished,3
5,310000,2800,19 out of 33,Carpet Area,Mumbai,Semi-Furnished,5
1,26000,650,1 out of 3,Super Area,Mumbai,Semi-Furnished,1
2,27000,600,18 out of 20,Carpet Area,Mumbai,Unfurnished,2
1,26000,649,3 out of 3,Super Area,Mumbai,Unfurnished,1
2,60000,950,2 out of 8,Carpet Area,Mumbai,Furnished,2
1,12000,225,7 out of 7,Carpet Area,Mumbai,Unfurnished,1
2,180000,1000,6 out of 10,Carpet Area,Mumbai,Furnished,2
1,30000,330,13 out of 40,Carpet Area,Mumbai,Furnished,1
3,100000,1200,8 out of 14,Carpet Area,Mumbai,Furnished,3
3,140000,1270,15 out of 60,Carpet Area,Mumbai,Semi-Furnished,3
3,70000,920,14 out of 21,Carpet Area,Mumbai,Unfurnished,3
2,20000,630,4 out of 22,Carpet Area,Mumbai,Unfurnished,2
2,22000,670,4 out of 12,Carpet Area,Mumbai,Furnished,2
1,32000,450,1 out of 5,Super Area,Mumbai,Furnished,1
1,20000,265,6 out of 7,Super Area,Mumbai,Unfurnished,1
2,50000,600,9 out of 11,Carpet Area,Mumbai,Semi-Furnished,2
2,29000,670,7 out of 7,Carpet Area,Mumbai,Unfurnished,2
2,45000,650,10 out of 18,Carpet Area,Mumbai,Semi-Furnished,2
1,6500,422,9 out of 15,Carpet Area,Mumbai,Semi-Furnished,2
2,55000,955,8 out of 22,Carpet Area,Mumbai,Unfurnished,2
3,69999,1100,6 out of 13,Carpet Area,Mumbai,Furnished,3
1,18500,300,3 out of 4,Carpet Area,Mumbai,Unfurnished,1
2,50000,900,5 out of 17,Carpet Area,Mumbai,Semi-Furnished,2
2,45000,785,2 out of 7,Carpet Area,Mumbai,Unfurnished,2
3,85000,1350,20 out of 31,Carpet Area,Mumbai,Furnished,3
2,85000,900,27 out of 45,Carpet Area,Mumbai,Semi-Furnished,2
1,25000,400,18 out of 23,Carpet Area,Mumbai,Unfurnished,1
2,75000,800,19 out of 20,Carpet Area,Mumbai,Semi-Furnished,3
2,190000,895,32 out of 46,Carpet Area,Mumbai,Semi-Furnished,2
1,20000,625,10 out of 12,Super Area,Mumbai,Semi-Furnished,1
2,30000,720,5 out of 14,Carpet Area,Mumbai,Semi-Furnished,2
2,75000,750,4 out of 13,Carpet Area,Mumbai,Furnished,2
3,350000,1663,19 out of 85,Carpet Area,Mumbai,Semi-Furnished,2
2,70000,660,Ground out of 6,Carpet Area,Mumbai,Semi-Furnished,2
2,32000,700,Ground out of 7,Carpet Area,Mumbai,Furnished,2
1,22000,377,3 out of 23,Super Area,Mumbai,Unfurnished,2
2,35000,650,5 out of 6,Carpet Area,Mumbai,Semi-Furnished,2
2,47000,650,5 out of 7,Carpet Area,Mumbai,Unfurnished,2
4,400000,2080,34 out of 46,Carpet Area,Mumbai,Semi-Furnished,5
2,31000,700,2 out of 8,Super Area,Mumbai,Semi-Furnished,2
1,60000,430,1 out of 7,Carpet Area,Mumbai,Furnished,1
2,58000,650,15 out of 24,Carpet Area,Mumbai,Unfurnished,2
3,85000,890,4 out of 27,Carpet Area,Mumbai,Furnished,2
2,45000,965,19 out of 27,Super Area,Mumbai,Unfurnished,2
1,7500,630,3 out of 12,Super Area,Mumbai,Semi-Furnished,2
4,250000,2100,35 out of 60,Carpet Area,Mumbai,Semi-Furnished,4
3,150000,1100,9 out of 16,Carpet Area,Mumbai,Furnished,3
2,80000,730,4 out of 6,Carpet Area,Mumbai,Semi-Furnished,2
3,75000,1380,9 out of 22,Carpet Area,Mumbai,Semi-Furnished,3
3,66000,1100,17 out of 22,Carpet Area,Mumbai,Semi-Furnished,3
1,45000,450,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,1
1,22000,500,3 out of 4,Super Area,Mumbai,Unfurnished,1
3,65000,1100,9 out of 20,Carpet Area,Mumbai,Semi-Furnished,3
3,55000,868,9 out of 21,Carpet Area,Mumbai,Unfurnished,3
2,55000,750,6 out of 15,Carpet Area,Mumbai,Semi-Furnished,2
1,36000,540,2 out of 3,Super Area,Mumbai,Unfurnished,2
4,230000,2100,21 out of 33,Carpet Area,Mumbai,Furnished,5
1,22000,450,4 out of 7,Carpet Area,Mumbai,Semi-Furnished,2
3,170000,1600,25 out of 52,Carpet Area,Mumbai,Semi-Furnished,4
1,34000,560,3 out of 7,Super Area,Mumbai,Semi-Furnished,2
1,45000,500,2 out of 3,Carpet Area,Mumbai,Unfurnished,1
1,14000,305,2 out of 24,Carpet Area,Mumbai,Unfurnished,1
3,75000,970,1 out of 3,Carpet Area,Mumbai,Furnished,2
1,7000,480,4 out of 4,Carpet Area,Mumbai,Unfurnished,1
2,55000,720,1 out of 6,Carpet Area,Mumbai,Semi-Furnished,2
2,55000,950,7 out of 10,Carpet Area,Mumbai,Semi-Furnished,2
4,700000,3200,24 out of 24,Carpet Area,Mumbai,Furnished,4
3,140000,1450,18 out of 33,Carpet Area,Mumbai,Furnished,3
2,42000,774,10 out of 20,Carpet Area,Mumbai,Semi-Furnished,2
1,27000,450,2 out of 3,Super Area,Mumbai,Unfurnished,1
3,60000,1000,1 out of 10,Carpet Area,Mumbai,Semi-Furnished,3
1,17000,340,1 out of 8,Super Area,Mumbai,Semi-Furnished,1
1,30000,430,14 out of 23,Carpet Area,Mumbai,Semi-Furnished,2
2,45000,722,4 out of 7,Carpet Area,Mumbai,Unfurnished,2
3,90000,1152,12 out of 21,Carpet Area,Mumbai,Furnished,2
1,25000,641,3 out of 8,Super Area,Mumbai,Unfurnished,1
2,70000,810,4 out of 11,Carpet Area,Mumbai,Furnished,2
2,90000,800,5 out of 6,Carpet Area,Mumbai,Furnished,2
2,110000,875,12 out of 14,Carpet Area,Mumbai,Unfurnished,2
2,20000,700,8 out of 22,Super Area,Mumbai,Unfurnished,2
1,35000,420,Ground out of 3,Super Area,Mumbai,Semi-Furnished,1
3,80000,1400,1 out of 2,Carpet Area,Mumbai,Furnished,3
2,54500,758,12 out of 24,Carpet Area,Mumbai,Semi-Furnished,2
4,350000,2880,45 out of 60,Carpet Area,Mumbai,Unfurnished,5
1,45000,480,7 out of 7,Carpet Area,Mumbai,Furnished,2
1,38000,550,6 out of 10,Carpet Area,Mumbai,Unfurnished,2
2,90000,900,60 out of 71,Carpet Area,Mumbai,Semi-Furnished,2
1,22000,400,8 out of 22,Super Area,Mumbai,Unfurnished,1
2,70000,760,9 out of 22,Carpet Area,Mumbai,Semi-Furnished,2
4,380000,2800,36 out of 81,Carpet Area,Mumbai,Unfurnished,5
1,50000,400,10 out of 22,Carpet Area,Mumbai,Semi-Furnished,1
4,680000,1962,18 out of 20,Carpet Area,Mumbai,Semi-Furnished,5
3,140000,1100,6 out of 12,Carpet Area,Mumbai,Semi-Furnished,3
2,40000,800,1 out of 3,Super Area,Mumbai,Semi-Furnished,2
2,32000,590,7 out of 12,Carpet Area,Mumbai,Unfurnished,2
2,78000,600,14 out of 22,Carpet Area,Mumbai,Semi-Furnished,2
4,280000,2500,24 out of 60,Carpet Area,Mumbai,Semi-Furnished,6
2,45000,670,17 out of 22,Carpet Area,Mumbai,Unfurnished,2
2,65000,960,16 out of 38,Carpet Area,Mumbai,Semi-Furnished,2
2,65000,1500,4 out of 4,Super Area,Mumbai,Semi-Furnished,3
1,35000,500,1 out of 5,Super Area,Mumbai,Semi-Furnished,1
3,90000,1120,8 out of 45,Carpet Area,Mumbai,Furnished,2
4,250000,2729,20 out of 27,Carpet Area,Mumbai,Semi-Furnished,5
3,70000,3354,Ground out of 16,Carpet Area,Bangalore,Furnished,3
2,10500,800,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
2,13000,1000,Ground out of 4,Super Area,Bangalore,Semi-Furnished,2
2,17000,1040,4 out of 4,Super Area,Bangalore,Furnished,2
3,21000,1403,1 out of 4,Super Area,Bangalore,Semi-Furnished,3
2,10000,600,3 out of 4,Super Area,Bangalore,Furnished,1
4,61500,2608,1 out of 4,Carpet Area,Bangalore,Semi-Furnished,3
2,13000,850,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,2
1,7500,400,1 out of 2,Super Area,Bangalore,Unfurnished,1
2,17000,1000,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
3,25000,1350,5 out of 14,Carpet Area,Bangalore,Semi-Furnished,3
2,10500,800,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,2
1,8000,350,3 out of 3,Super Area,Bangalore,Semi-Furnished,1
1,9500,900,Ground out of 2,Super Area,Bangalore,Semi-Furnished,1
3,50000,2000,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,3
2,13000,700,1 out of 4,Super Area,Bangalore,Semi-Furnished,2
1,13500,600,1 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,13000,700,Ground out of 1,Carpet Area,Bangalore,Semi-Furnished,1
1,15000,600,2 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,15000,1400,Ground out of 1,Super Area,Bangalore,Furnished,3
1,7000,600,Ground out of 3,Super Area,Bangalore,Unfurnished,1
2,25000,770,8 out of 32,Super Area,Bangalore,Furnished,2
2,17000,900,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,2
1,7500,500,Ground out of 3,Super Area,Bangalore,Furnished,1
2,15000,1100,1 out of 2,Super Area,Bangalore,Unfurnished,2
1,7500,500,1 out of 2,Super Area,Bangalore,Semi-Furnished,1
3,25000,1260,Ground out of 2,Super Area,Bangalore,Furnished,3
3,54000,1750,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,3
1,14500,600,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,1
1,4500,450,Ground out of 3,Super Area,Bangalore,Semi-Furnished,1
2,10500,800,3 out of 4,Super Area,Bangalore,Semi-Furnished,1
1,5500,400,Ground out of 2,Super Area,Bangalore,Unfurnished,1
2,16000,600,1 out of 2,Carpet Area,Bangalore,Unfurnished,2
1,7000,400,Ground out of 2,Super Area,Bangalore,Unfurnished,1
2,12500,900,Ground out of 3,Super Area,Bangalore,Furnished,2
2,10000,1200,Ground out of 4,Super Area,Bangalore,Semi-Furnished,1
2,18000,1045,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,2
3,28000,1021,10 out of 10,Carpet Area,Bangalore,Furnished,3
3,12000,1200,Ground out of 4,Super Area,Bangalore,Unfurnished,2
2,13000,1000,1 out of 3,Carpet Area,Bangalore,Unfurnished,1
2,50000,1280,2 out of 12,Carpet Area,Bangalore,Furnished,2
1,7000,450,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,1
2,30000,450,2 out of 3,Super Area,Bangalore,Unfurnished,2
1,10000,600,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
2,15000,800,2 out of 3,Super Area,Bangalore,Semi-Furnished,2
1,7500,500,2 out of 4,Super Area,Bangalore,Unfurnished,1
3,45000,1680,7 out of 19,Super Area,Bangalore,Semi-Furnished,3
3,65000,2000,23 out of 40,Carpet Area,Bangalore,Semi-Furnished,3
1,12000,500,1 out of 4,Carpet Area,Bangalore,Semi-Furnished,1
1,7000,500,2 out of 2,Carpet Area,Bangalore,Semi-Furnished,1
1,9000,800,2 out of 3,Super Area,Bangalore,Unfurnished,1
2,23000,1100,2 out of 3,Super Area,Bangalore,Semi-Furnished,2
2,30000,1200,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
1,8000,500,2 out of 3,Carpet Area,Bangalore,Unfurnished,1
2,16000,1155,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
1,7500,440,3 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,20000,1040,1 out of 7,Carpet Area,Bangalore,Semi-Furnished,2
4,110000,2900,7 out of 18,Carpet Area,Bangalore,Furnished,4
3,30000,1200,1 out of 2,Super Area,Bangalore,Semi-Furnished,2
3,20000,1600,2 out of 3,Super Area,Bangalore,Semi-Furnished,3
4,84000,3150,8 out of 19,Carpet Area,Bangalore,Unfurnished,4
2,17000,1000,2 out of 4,Super Area,Bangalore,Semi-Furnished,2
2,15000,1200,1 out of 2,Super Area,Bangalore,Semi-Furnished,2
1,6000,400,4 out of 5,Super Area,Bangalore,Semi-Furnished,1
2,16000,950,1 out of 1,Carpet Area,Bangalore,Furnished,3
2,9500,530,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,1
1,8000,300,Ground out of 2,Carpet Area,Bangalore,Unfurnished,1
2,15000,1000,Ground out of 3,Super Area,Bangalore,Semi-Furnished,2
1,12000,450,3 out of 3,Super Area,Bangalore,Unfurnished,1
1,10000,600,Ground out of 1,Carpet Area,Bangalore,Semi-Furnished,1
2,16000,1100,2 out of 4,Super Area,Bangalore,Unfurnished,2
1,11000,400,1 out of 4,Super Area,Bangalore,Unfurnished,1
2,11000,700,1 out of 2,Super Area,Bangalore,Unfurnished,2
2,20000,1105,1 out of 4,Super Area,Bangalore,Semi-Furnished,2
3,24000,1430,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
2,14500,850,2 out of 4,Super Area,Bangalore,Semi-Furnished,2
1,4000,650,1 out of 2,Super Area,Bangalore,Unfurnished,1
2,12000,1200,Ground out of 2,Super Area,Bangalore,Unfurnished,2
2,8500,600,1 out of 3,Super Area,Bangalore,Unfurnished,2
1,9000,400,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,1
4,180000,2800,Ground out of 4,Carpet Area,Bangalore,Furnished,4
2,10500,1100,Ground out of 1,Super Area,Bangalore,Semi-Furnished,2
2,12000,900,1 out of 5,Super Area,Bangalore,Unfurnished,2
3,32000,1300,2 out of 4,Super Area,Bangalore,Semi-Furnished,2
2,15000,1000,Ground out of 1,Super Area,Bangalore,Semi-Furnished,3
3,21000,1000,1 out of 2,Carpet Area,Bangalore,Furnished,3
2,12000,900,Ground out of 1,Carpet Area,Bangalore,Unfurnished,2
1,7000,800,1 out of 1,Carpet Area,Bangalore,Unfurnished,1
2,15000,750,1 out of 3,Super Area,Bangalore,Unfurnished,2
2,11400,1100,2 out of 5,Carpet Area,Bangalore,Unfurnished,2
2,15000,1200,1 out of 3,Super Area,Bangalore,Semi-Furnished,2
2,19000,1000,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,2
2,27000,1000,4 out of 4,Carpet Area,Bangalore,Semi-Furnished,2
3,48000,2000,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,3
1,7000,550,1 out of 3,Super Area,Bangalore,Semi-Furnished,1
2,15000,1130,Ground out of 4,Super Area,Bangalore,Unfurnished,2
2,10000,600,Ground out of 1,Super Area,Bangalore,Semi-Furnished,2
1,7000,100,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,1
2,9000,500,2 out of 5,Super Area,Bangalore,Semi-Furnished,1
1,8000,600,Ground out of 3,Super Area,Bangalore,Unfurnished,1
2,35000,1200,1 out of 5,Carpet Area,Bangalore,Semi-Furnished,2
2,16000,850,1 out of 2,Super Area,Bangalore,Semi-Furnished,2
1,4500,600,1 out of 4,Super Area,Bangalore,Unfurnished,1
2,16000,600,1 out of 3,Super Area,Bangalore,Unfurnished,1
2,10000,700,1 out of 4,Super Area,Bangalore,Semi-Furnished,1
1,8000,400,1 out of 1,Carpet Area,Bangalore,Unfurnished,1
1,6000,400,3 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,13000,1000,1 out of 2,Carpet Area,Bangalore,Unfurnished,2
2,10000,1200,Ground out of 4,Super Area,Bangalore,Semi-Furnished,2
3,55000,1603,6 out of 17,Carpet Area,Bangalore,Semi-Furnished,3
3,15000,1200,Ground out of 2,Super Area,Bangalore,Semi-Furnished,3
1,12000,420,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,1
2,9000,1200,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
3,36000,1771,10 out of 18,Super Area,Bangalore,Semi-Furnished,3
3,37000,1200,2 out of 3,Super Area,Bangalore,Semi-Furnished,3
2,6000,700,1 out of 2,Super Area,Bangalore,Unfurnished,1
1,17000,610,10 out of 10,Super Area,Bangalore,Semi-Furnished,1
1,8000,800,3 out of 4,Super Area,Bangalore,Unfurnished,1
1,7500,550,2 out of 3,Super Area,Bangalore,Semi-Furnished,1
2,9500,750,1 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,13500,700,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,2
1,9000,600,2 out of 2,Carpet Area,Bangalore,Semi-Furnished,1
1,7000,360,Ground out of 2,Super Area,Bangalore,Unfurnished,1
2,12000,800,2 out of 4,Super Area,Bangalore,Unfurnished,2
4,100000,3700,18 out of 22,Carpet Area,Bangalore,Semi-Furnished,5
2,12000,1200,1 out of 3,Super Area,Bangalore,Unfurnished,2
1,8500,480,2 out of 3,Super Area,Bangalore,Furnished,1
2,18000,1000,Ground out of 3,Super Area,Bangalore,Semi-Furnished,2
1,11000,800,Ground out of 3,Super Area,Bangalore,Semi-Furnished,1
3,18000,900,2 out of 3,Super Area,Bangalore,Furnished,2
3,17000,1450,Ground out of 2,Super Area,Bangalore,Semi-Furnished,3
1,6500,400,Ground out of 3,Super Area,Bangalore,Unfurnished,1
2,11500,700,1 out of 2,Super Area,Bangalore,Semi-Furnished,2
2,22000,1000,2 out of 6,Carpet Area,Bangalore,Semi-Furnished,2
1,13000,450,3 out of 3,Carpet Area,Bangalore,Furnished,1
3,20000,773,2 out of 12,Carpet Area,Bangalore,Semi-Furnished,2
2,10000,1200,1 out of 2,Super Area,Bangalore,Semi-Furnished,2
2,15000,1000,2 out of 3,Super Area,Bangalore,Unfurnished,2
1,8000,150,2 out of 3,Super Area,Bangalore,Unfurnished,1
2,12000,865,1 out of 5,Super Area,Bangalore,Semi-Furnished,2
1,20000,600,1 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,20000,800,2 out of 3,Super Area,Bangalore,Semi-Furnished,1
1,8000,200,Ground out of 4,Super Area,Bangalore,Semi-Furnished,1
1,11000,600,1 out of 4,Carpet Area,Bangalore,Unfurnished,2
3,40000,1840,5 out of 14,Carpet Area,Bangalore,Semi-Furnished,2
2,10000,800,2 out of 4,Super Area,Bangalore,Semi-Furnished,2
3,30000,1600,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,2
2,8000,600,1 out of 2,Super Area,Bangalore,Unfurnished,1
2,15000,1100,3 out of 3,Carpet Area,Bangalore,Unfurnished,2
2,12000,950,1 out of 2,Super Area,Bangalore,Semi-Furnished,2
2,12000,905,3 out of 6,Super Area,Bangalore,Semi-Furnished,2
3,20000,1200,Ground out of 1,Carpet Area,Bangalore,Semi-Furnished,2
3,13000,1000,1 out of 2,Super Area,Bangalore,Semi-Furnished,1
2,17500,1080,1 out of 4,Super Area,Bangalore,Furnished,2
1,8000,600,Ground out of 4,Super Area,Bangalore,Semi-Furnished,1
2,8500,1000,Ground out of 3,Super Area,Bangalore,Semi-Furnished,2
1,7500,600,1 out of 2,Super Area,Bangalore,Semi-Furnished,1
2,22000,1100,2 out of 5,Super Area,Bangalore,Semi-Furnished,2
1,6000,300,Ground out of 2,Super Area,Bangalore,Unfurnished,1
2,32900,1200,3 out of 6,Carpet Area,Bangalore,Furnished,1
2,15000,800,1 out of 4,Super Area,Bangalore,Furnished,1
2,10000,535,3 out of 4,Super Area,Bangalore,Unfurnished,1
2,10000,800,1 out of 3,Super Area,Bangalore,Unfurnished,2
3,21000,1159,4 out of 5,Super Area,Bangalore,Unfurnished,2
4,63000,2650,16 out of 34,Carpet Area,Bangalore,Unfurnished,5
1,6900,50,Ground out of 4,Carpet Area,Bangalore,Semi-Furnished,1
2,14000,700,2 out of 3,Super Area,Bangalore,Unfurnished,1
1,14500,550,4 out of 5,Super Area,Bangalore,Semi-Furnished,1
1,6500,700,2 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,13000,600,1 out of 5,Super Area,Bangalore,Unfurnished,2
2,8000,600,1 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,18000,1000,2 out of 4,Super Area,Bangalore,Semi-Furnished,1
2,20000,1100,2 out of 2,Super Area,Bangalore,Semi-Furnished,3
1,14000,750,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,1
4,50000,2900,5 out of 7,Super Area,Bangalore,Furnished,4
2,14500,990,1 out of 4,Super Area,Bangalore,Unfurnished,2
2,15000,1300,Ground out of 2,Super Area,Bangalore,Furnished,2
1,11500,550,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,1
3,15000,1360,5 out of 9,Super Area,Bangalore,Semi-Furnished,2
2,12000,600,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,2
2,18000,1200,Ground out of 12,Carpet Area,Bangalore,Semi-Furnished,2
2,15000,1050,1 out of 5,Super Area,Bangalore,Semi-Furnished,2
2,12000,840,2 out of 4,Super Area,Bangalore,Semi-Furnished,2
2,25000,1050,1 out of 5,Super Area,Bangalore,Semi-Furnished,2
3,150000,3250,2 out of 6,Carpet Area,Bangalore,Furnished,4
1,10000,500,2 out of 3,Super Area,Bangalore,Unfurnished,1
2,8000,900,1 out of 3,Super Area,Bangalore,Semi-Furnished,1
2,40000,1300,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,2
2,12000,600,2 out of 3,Super Area,Bangalore,Unfurnished,1
2,16000,900,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,1
2,23000,1100,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,2
2,25000,1100,2 out of 10,Carpet Area,Bangalore,Semi-Furnished,2
1,7000,600,2 out of 3,Super Area,Bangalore,Unfurnished,1
2,17500,1250,1 out of 2,Carpet Area,Bangalore,Unfurnished,2
1,10000,415,3 out of 3,Carpet Area,Bangalore,Semi-Furnished,1
3,39000,1200,1 out of 4,Super Area,Bangalore,Furnished,3
3,22000,1200,4 out of 4,Carpet Area,Bangalore,Unfurnished,2
2,18000,1000,2 out of 4,Super Area,Bangalore,Semi-Furnished,2
2,23000,1300,3 out of 4,Super Area,Bangalore,Furnished,2
2,20000,1150,2 out of 4,Carpet Area,Bangalore,Unfurnished,2
1,10000,450,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,1
1,15000,600,5 out of 5,Carpet Area,Bangalore,Semi-Furnished,1
2,17000,1000,3 out of 4,Super Area,Bangalore,Semi-Furnished,2
3,56000,1900,6 out of 16,Carpet Area,Bangalore,Unfurnished,3
3,43000,1700,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,3
2,25000,1100,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,2
1,9000,500,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,1
3,31000,1757,9 out of 10,Super Area,Bangalore,Semi-Furnished,3
1,6000,300,Ground out of 2,Super Area,Bangalore,Semi-Furnished,1
1,5000,500,2 out of 3,Super Area,Bangalore,Semi-Furnished,1
2,16000,1200,Ground out of 1,Super Area,Bangalore,Unfurnished,2
1,20000,800,Ground out of 5,Carpet Area,Bangalore,Semi-Furnished,1
3,28000,1281,2 out of 4,Super Area,Bangalore,Semi-Furnished,3
2,18000,1450,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,2
